date,county,state,fips,cases,deaths,
3/29/20,Unknown,Hawaii,,10,0,
3/30/20,Hawaii,Hawaii,15001,15,0,
3/30/20,Honolulu,Hawaii,15003,139,0,
3/30/20,Kauai,Hawaii,15007,12,0,
3/30/20,Maui,Hawaii,15009,25,0,
3/30/20,Unknown,Hawaii,,8,0,
3/31/20,Hawaii,Hawaii,15001,15,0,
3/31/20,Honolulu,Hawaii,15003,157,1,
3/31/20,Kauai,Hawaii,15007,12,0,
3/31/20,Maui,Hawaii,15009,25,0,
3/31/20,Unknown,Hawaii,,15,0,
4/1/20,Hawaii,Hawaii,15001,18,0,
4/1/20,Honolulu,Hawaii,15003,182,1,
4/1/20,Kauai,Hawaii,15007,12,0,
4/1/20,Maui,Hawaii,15009,26,0,
4/1/20,Unknown,Hawaii,,18,0,
4/2/20,Hawaii,Hawaii,15001,18,0,
4/2/20,Honolulu,Hawaii,15003,206,2,
4/2/20,Kauai,Hawaii,15007,12,0,
4/2/20,Maui,Hawaii,15009,27,0,
4/2/20,Unknown,Hawaii,,20,0,
4/3/20,Hawaii,Hawaii,15001,20,0,
4/3/20,Honolulu,Hawaii,15003,237,2,
4/3/20,Kauai,Hawaii,15007,13,0,
4/3/20,Maui,Hawaii,15009,36,0,
4/3/20,Unknown,Hawaii,,11,1,
4/4/20,Hawaii,Hawaii,15001,22,0,
4/4/20,Honolulu,Hawaii,15003,266,2,
4/4/20,Kauai,Hawaii,15007,15,0,
4/4/20,Maui,Hawaii,15009,38,0,
4/4/20,Unknown,Hawaii,,8,1,
4/5/20,Hawaii,Hawaii,15001,22,0,
4/5/20,Honolulu,Hawaii,15003,281,2,
4/5/20,Kauai,Hawaii,15007,16,0,
4/5/20,Maui,Hawaii,15009,43,0,
4/5/20,Unknown,Hawaii,,10,1,
4/6/20,Hawaii,Hawaii,15001,23,0,
4/6/20,Honolulu,Hawaii,15003,292,4,
4/6/20,Kauai,Hawaii,15007,17,0,
4/6/20,Maui,Hawaii,15009,44,1,
4/6/20,Unknown,Hawaii,,9,0,
4/9/20,Hawaii,Hawaii,15001,28,0,
4/9/20,Honolulu,Hawaii,15003,334,4,
4/9/20,Kauai,Hawaii,15007,18,0,
4/9/20,Maui,Hawaii,15009,57,2,
4/9/20,Unknown,Hawaii,,5,0,
